Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,brand_model
Honda,City,2001,23,98000.0,0,1,0,195000,Honda City
Toyota,Innova,2009,15,190000.0,0,1,1,375000,Toyota Innova
Volkswagen,VentoTest,2010,14,77246.0,0,0,1,184999,Volkswagen VentoTest
Maruti Suzuki,Swift,2017,7,83500.0,0,1,1,565000,Maruti Suzuki Swift
Maruti Suzuki,Baleno,2019,5,45000.0,1,0,0,685000,Maruti Suzuki Baleno
BMW,X3,2014,10,83000.0,1,0,1,1350000,BMW X3
Toyota,Innova,2014,10,168000.0,0,1,1,1025000,Toyota Innova
BMW,5 Series,2019,5,25000.0,1,1,1,5950000,BMW 5 Series
Maruti Suzuki,maruti-suzuki-dzire,2020,4,33759.0,0,1,0,622000,Maruti Suzuki maruti-suzuki-dzire
Ford,Ecosport,2017,7,69713.0,0,1,0,649000,Ford Ecosport
Maruti Suzuki,Alto-K10,2018,6,70000.0,1,0,0,395000,Maruti Suzuki Alto-K10
Kia,Carnival,2021,3,25000.0,1,0,1,2900000,Kia Carnival
Maruti Suzuki,Swift-Dzire,2012,12,72700.0,0,1,0,240000,Maruti Suzuki Swift-Dzire
Toyota,Corolla,2007,17,121931.0,1,1,0,201350,Toyota Corolla
Mercedes-Benz,GLE COUPE,2021,3,32000.0,1,1,0,11800000,Mercedes-Benz GLE COUPE
Hyundai,Xcent,2018,6,130000.0,0,1,1,330000,Hyundai Xcent
Kia,Seltos,2020,4,68000.0,0,0,1,1045000,Kia Seltos
Maruti Suzuki,Ertiga,2016,8,65000.0,0,1,1,785000,Maruti Suzuki Ertiga
Maruti Suzuki,Ertiga,2017,7,59000.0,1,1,0,555000,Maruti Suzuki Ertiga
BMW,3 Series GT,2015,9,61000.0,1,1,1,1500000,BMW 3 Series GT
Ford,Endeavour,2019,5,77000.0,1,1,1,2399000,Ford Endeavour
Toyota,Innova Crysta,2017,7,107000.0,1,0,1,1325000,Toyota Innova Crysta
Honda,City,2010,14,99000.0,0,0,0,295000,Honda City
Audi,A3,2015,9,42000.0,1,1,1,1050000,Audi A3
Renault,KWID,2019,5,48073.0,1,1,0,355000,Renault KWID
MG,Hector,2019,5,32618.0,1,0,0,1250000,MG Hector
Maruti Suzuki,Swift-Dzire,2012,12,70000.0,0,1,1,315000,Maruti Suzuki Swift-Dzire
Maruti Suzuki,Celerio,2014,10,51000.0,1,1,0,345000,Maruti Suzuki Celerio
Maruti Suzuki,Vitara-Brezza,2018,6,137000.0,0,0,1,845000,Maruti Suzuki Vitara-Brezza
Toyota,2.8 Legender 4X2,2023,1,1996.0,1,0,1,4195000,Toyota 2.8 Legender 4X2
Toyota,Innova Crysta,2017,7,90000.0,0,1,1,1950000,Toyota Innova Crysta
Toyota,Innova,2011,13,84000.0,0,1,1,490000,Toyota Innova
Volvo,S90,2018,6,53000.0,1,0,1,2950000,Volvo S90
Hyundai,Venue,2021,3,17000.0,0,0,0,685000,Hyundai Venue
Maruti Suzuki,Ertiga,2018,6,70000.0,0,1,0,749000,Maruti Suzuki Ertiga
Hyundai,Creta,2023,1,5000.0,1,0,0,1600000,Hyundai Creta
Hyundai,Alcazar,2022,2,47110.0,0,1,1,1695000,Hyundai Alcazar
Hyundai,i20,2019,5,35000.0,0,0,0,585000,Hyundai i20
Mercedes-Benz,E-Class,2019,5,101570.0,1,0,1,4200000,Mercedes-Benz E-Class
Volkswagen,Polo,2021,3,42000.0,0,1,0,675000,Volkswagen Polo
Maruti Suzuki,Baleno,2018,6,30000.0,0,1,0,630000,Maruti Suzuki Baleno
Hyundai,Verna,2016,8,82100.0,0,1,1,465000,Hyundai Verna
